state,loc,description,url,refs
Alabama,Opelika,A crowd protested downtown on May 30.[20],https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.wtvm.com/2020/05/30/crowd-gathers-opelika-protest-death-george-floyd/
Alabama,Troy,About 50 people demonstrated peacefully on May 29 at the square in downtown Troy.[21][22],https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,https://www.dothanfirst.com/news/no-justice-no-peace-troy-students-others-protest-in-town-square-over-george-floyds-death/	https://tropnews.com/protest-of-george-floyds-death-in-downtown-troy/
Michigan,Lower Peninsula,"There have been a series of George Floyd protests in Michigan. Following the death of George Floyd in police custody, protests spread from Minneapolis to other parts of the United States, including Michigan. Protests broke out in Detroit on the night of May 29 and spread to over 15 other cities over the following days.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,
Michigan,Ann Arbor,"Hundreds of protesters gathered on the central square of the University of Michigan on May 30, with a series of activists and community members using a megaphone to speak about racial injustice and police violence. That day and for several days beforehand, protesters also marched through the streets of Ann Arbor.[1] These protests were related to an event in neighboring Ypsilanti on May 26, in which a police officer had been filmed punching an Ypsilanti woman and then taking her into custody where she was held for several days.[2]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/ann-arbor/2020/05/hundreds-protesting-police-brutality-gather-in-ann-arbor-to-make-a-change-for-our-country.html	https://www.mlive.com/news/ann-arbor/2020/05/outraged-residents-block-streets-in-protest-over-washtenaw-deputy-accused-of-punching-black-woman.html
Michigan,Bad Axe,"On June 5, Over 200 protesters showed up in front of the Huron County building to raise awareness for the Black Lives Matter protests occurring nationwide and worldwide following the murder of George Floyd by Minneapolis police officer Derek Chauvin.[3] Bad Axe police chief David Rothe and Huron County sheriff Kelly Hanson were seen marching alongside the protesters. Police presence was able to maintain peace despite numerous individuals showing up to oppose the protest until crowds started to disperse at around 6 pm. The event, coordinated by multiple local and national civic groups, was described as being well organized, peaceful, and focused.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://thumbwind.com/2020/06/05/black-lives-matter-protest-comes-to-bad-axe-michigan/
Michigan,Cassopolis,"About 100 people marched from Clisbee Park to the police station on Broadway at 3 pm on June 13, 2020.[4][5][6]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.facebook.com/gregory.ashbuck.77/videos/cassopolis-michigan-black-lives-matter-protest-instant-recap/259535295492282/	https://www.facebook.com/events/728535091251851/	https://leaderpub.com/2020/06/13/gallery-cassopolis-peace-rally-held/
Michigan,Dearborn,"On June 7, hundreds of demonstrators surrounded the Dearborn Historical Museum in Dearborn to peacefully protest against racism and police brutality.[7] Most protesters wore masks to protect against the spread of COVID-19. The crowd listened to speakers prior to marching down Brady Street and across Michigan Avenue while chanting ""No justice, no peace"". Demonstrators also celebrated the removal of the statue of former Dearborn mayor Orville Hubbard, known for his support of racism and segregation. The statue's removal came days after the statue had a Black Lives Matter T-shirt placed over it. Moving forward, protesters look forward to removing his name from streets, ballrooms, and buildings nearby. Speakers at the protest included Debbie Dingell, the U.S. representative for Michigan's 12th congressional district, Rashida Tlaib, the U.S. representative for Michigan's 13th congressional district, and Abdullah Hammoud, the state representative for Michigan's 15th district.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.pressandguide.com/news/protesters-gather-in-dearborn-to-fight-police-brutality-celebrate-removal-of-hubbard-statue/article_6472aee6-a99e-11ea-a1e2-1bc514bbb35e.html
Michigan,Detroit,"Hundreds protested in downtown Detroit starting on May 29. Some protesters were seen throwing items at police officers and taunting them.[8] At least 61 people were arrested.[9] On the night of May 29 an unknown assailant fired shots into a vehicle downtown around 11:30 pm; a 21-year-old Eastpointe man in the vehicle was hit and died from his injuries at a local hospital.[10] It was initially thought that this man was 19 years old and that the assailant fired from a vehicle; this was later proven otherwise.[11][12][13] On Sunday night, mayor Mike Duggan imposed a curfew from 8 pm to 5 am Monday[14] and more than 100 people were arrested.[15] On June 1, a ten-mile march was attended by several hundred protesters that spanned from downtown Detroit to the city's southwest boundary.[16] Protesters ignored Detroit's 8 pm curfew with authorities taking no actions against protesters, allowing the demonstrations to end peacefully.[16]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.clickondetroit.com/news/local/2020/05/30/1-killed-multiple-arrests-made-during-protests-in-downtown-detroit/	https://www.clickondetroit.com/news/local/2020/05/30/61-people-arrested-in-downtown-detroit-george-floyd-protest-police-say/	https://www.freep.com/story/news/local/michigan/detroit/2020/06/11/two-men-charged-killing-eastpointe-man-near-george-floyd-protest/5345354002/	https://www.freep.com/story/news/local/michigan/wayne/2020/05/30/police-man-killed-drive-during-detroit-police-brutality-protest/5289629002/	https://www.freep.com/story/news/local/michigan/detroit/2020/05/30/detroit-shooting-protest/5290882002/	https://www.wxyz.com/news/watch-hundreds-gather-at-large-protest-in-downtown-detroit-on-friday-night	https://www.freep.com/story/news/local/michigan/detroit/2020/05/31/mayor-mike-duggan-police-chief-james-craig-protests/5299422002/	https://www.freep.com/story/news/local/michigan/detroit/2020/06/01/detroit-protest-arrests/5307599002/	https://www.detroitnews.com/story/news/local/detroit-city/2020/06/01/protests-enter-4th-day-detroit-spread-troy/5311771002/	https://www.detroitnews.com/story/news/local/detroit-city/2020/06/01/protests-enter-4th-day-detroit-spread-troy/5311771002/
Michigan,Flint,"Hundreds of protesters shut down Miller Road in the Flint Township on May 30.[17] Genesee County Sheriff Chris Swanson spoke to the crowd saying he wanted to stand in solidarity with the protesters.[18] On June 1, hundreds gathered for a peace rally at Flint City Hall. One protester said: ""Justice for George, this is all for George.""[19]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/flint/2020/05/flint-area-police-join-protesters-marching-to-seek-justice-for-george-floyd.html	https://thehill.com/homenews/state-watch/500336-michigan-sheriff-joins-protestors-marching-over-george-floyd-death	https://www.wnem.com/news/hundreds-gather-for-peaceful-protest-at-flint-city-hall/article_36d3ca88-a46c-11ea-b925-df796c2206db.html
Michigan,Grand Rapids,"Thousands of demonstrators marched in downtown Grand Rapids on Saturday, May 30.[20][21] The protesters initially gathered at Rosa Parks Circle for a silent protest while other demonstrators moved to the headquarters of the Grand Rapids Police Department where interactions intensified.[20] That same day, Grand Rapids police chief Eric Payne spoke to protesters stating ""I've heard you my entire career. Black lives do matter"", with clashes later intensifying with protesters beginning to throw objects at police.[20] Riot police dispersed demonstrators with tear gas and flash bangs.[22] A viral video from the protests showed Grand Rapids Police pepper spraying a protester and then immediately firing a tear gas canister into his shoulder.[23][24] Into the early morning hours of May 31, looting and fires began to spread through downtown Grand Rapids.[21] Mayor of Grand Rapids Rosalynn Bliss enforced a 7pm-5am curfew for the city beginning that day until June 2, calling for support from the Michigan National Guard.[25] Citizens also arrived downtown during the day to assist with clean-up efforts following the riots.[26] Only a few protesters were arrested on Sunday for violating the city's curfew.[25]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/grand-rapids/2020/05/no-justice-no-peace-thousands-gather-in-grand-rapids-to-protest-police-brutality.html	https://www.woodtv.com/news/grand-rapids/protests-scheduled-in-downtown-gr-kalamazoo-saturday/	https://www.mlive.com/news/grand-rapids/2020/05/no-justice-no-peace-thousands-gather-in-grand-rapids-to-protest-police-brutality.html	https://www.mlive.com/news/grand-rapids/2020/05/no-justice-no-peace-thousands-gather-in-grand-rapids-to-protest-police-brutality.html	https://www.woodtv.com/news/grand-rapids/protests-scheduled-in-downtown-gr-kalamazoo-saturday/	https://www.msn.com/en-us/news/us/grand-rapids-police-investigating-video-of-man-appearing-to-get-shot-in-the-face-with-tear-gas/ar-BB14VANt?li=BBnbcA1	https://www.trtworld.com/americas/these-are-the-weapons-us-police-are-using-against-protesters-36883	https://www.woodtv.com/news/grand-rapids/protests-scheduled-in-downtown-gr-kalamazoo-saturday/	https://www.mlive.com/news/grand-rapids/2020/06/grand-rapids-leaders-shoot-down-extending-curfew.html	https://www.woodtv.com/news/grand-rapids/volunteers-fill-downtown-grand-rapids-to-clean-up-after-riots/	https://www.mlive.com/news/grand-rapids/2020/06/grand-rapids-leaders-shoot-down-extending-curfew.html
Michigan,Kalamazoo,"Two protests on May 30 in Kalamazoo brought in thousands of protesters with both protests shutting down major traffic intersections and were peaceful.[31][32] On June 1, peaceful protests occurred into the evening.[33] Vandalism then began to occur overnight, damaging a number of businesses in the city.[33] Kalamazoo officials established a 7 pm curfew on June 2.[33] Protests occurred again that day, with about 100 protesters staying past the 7 pm curfew to confront a National Guard barricade on Michigan Avenue.[33] Assistant Chief Vernon Coakley Jr. and City Manager Jim Ritsema spoke with protesters for about forty minutes after the curfew, attempting to have them march away from the site with no success.[33] Tear gas was then deployed and the protest dispersed, with Coakley later stating that he ""felt awful"" for firing chemical agents upon a peaceful demonstration.[33]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/kalamazoo/2020/05/throngs-crowd-downtown-kalamazoo-from-days-second-protest.html	https://www.mlive.com/news/kalamazoo/2020/06/chief-explains-use-of-crowd-management-team-at-kalamazoo-protests.html	https://www.mlive.com/news/kalamazoo/2020/06/kalamazoo-protesters-urge-police-to-join-them-are-tear-gassed-after-curfew.html	https://www.mlive.com/news/kalamazoo/2020/06/kalamazoo-protesters-urge-police-to-join-them-are-tear-gassed-after-curfew.html	https://www.mlive.com/news/kalamazoo/2020/06/kalamazoo-protesters-urge-police-to-join-them-are-tear-gassed-after-curfew.html	https://www.mlive.com/news/kalamazoo/2020/06/kalamazoo-protesters-urge-police-to-join-them-are-tear-gassed-after-curfew.html	https://www.mlive.com/news/kalamazoo/2020/06/kalamazoo-protesters-urge-police-to-join-them-are-tear-gassed-after-curfew.html	https://www.mlive.com/news/kalamazoo/2020/06/kalamazoo-protesters-urge-police-to-join-them-are-tear-gassed-after-curfew.html
Michigan,Mount Pleasant,"On May 31, crowds of about 200 people marched from Bluegrass Road and Mission Street in Mount Pleasant until they reached Broadway Street as part of a peaceful protest against racism and police brutality.[42] Once there, protesters laid down before chanting ""I can't breathe"". On June 1, community members (including hundreds of students and faculty at Central Michigan University) participated in a peaceful protest. The protest started at Bovee University Center and ended at the Isabella County Sheriff's Office.[43] Protesters chanted about the injustices they were condemning and their desire for justice and peace. The protesters had the full support of the university and coordinated with police prior to the protest, arranging for police escorts throughout the march.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.wnem.com/news/mt-pleasant-protesters-laid-down-on-street-chanting-i-can-t-breathe/article_701cdfa4-a40e-11ea-a510-eb98acde56e7.html	https://www.9and10news.com/2020/06/01/peaceful-protest-takes-place-in-mt-pleasant/
Michigan,Pittsfield Township,"On June 9, hundreds of protesters (estimates range from 500 to 1000) marched from the Washtenaw County's sheriff office in Pittsfield Township to the Arborland shopping center to demand justice for George Floyd and for Sha'Teina Grady El, a woman from nearby Ypsilanti Township that was caught on camera being hit 3 times by a deputy during an arrest the previous month.[44] Prior to arriving at Arborland, the demonstrators stopped at the intersection of Washtenaw Avenue and Carpenter Road to kneel and chant ""Say his name, George Floyd"", ""Breonna Taylor"", and ""No justice, no peace"" as part of a march to emphatically denounce police brutality. The director of public safety at Pittsfield Township's police department, Matt Harshberger, and the department's public safety community coordinator, Ritchie Coleman, also participated in the kneeling. Organizers of the protest urged demonstrators to vote and helped people register to vote at a makeshift booth they had set up.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/ann-arbor/2020/06/police-kneel-with-protesters-in-pittsfield-township-protest-against-police-brutality.html
Michigan,Port Huron,"Hundreds of demonstrators showed up outside of the Municipal Office Complex on June 5 to protest the death of George Floyd, racial injustice, and police brutality.[45] The protesters gathered at Pine Grove Park and headed toward downtown Port Huron. The organizers made an effort to help unregistered voters to be able to vote in the upcoming 2020 presidential election.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.thetimesherald.com/story/news/2020/06/05/black-lives-matter-protesters-march-port-huron/3156897001/
Michigan,Saginaw,"On May 31, protesters began a 72-hour occupation of the area outside the Saginaw Police Department in a demonstration called ""Stand with the Ghost of George Floyd.""[46] On June 2, the demonstrators marched from Hoyt Park to the Saginaw County Governmental Center building, blocking the Court Street Bridge in the process. They demanded reforms to law enforcement, which included de-militarization and mandatory mental illness and de-escalation training for police officers.[47]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/saginaw-bay-city/2020/06/saginaw-group-spending-72-hours-outside-police-department-to-protest-george-floyd-death-in-minnesota.html	https://www.mlive.com/news/saginaw-bay-city/2020/06/enough-is-enough-hundreds-march-in-saginaw-to-demand-justice-for-george-floyd.html
Michigan,Sterling Heights,"On June 6, an estimated 5000-10000 peaceful protesters marched eastbound on Hall Road in Sterling Heights while chanting ""Black Lives Matter"", ""Hands up, don't shoot"", and ""No justice, no peace"".[48] Sterling Heights' police chief Dale Dwojakowski stated that the protest went through four or five jurisdictions and no arrests were made; however, police refused to join protesters in kneeling. The protest was organized by three high school girls from Chippewa Valley High School who, along with Eastpointe Mayor Monique Owens, made sure to urge protesters to vote to ensure lasting change. The protest came in the aftermath of Shelby Township police chief Robert J. Shelide being placed on leave for inflammatory social media posts; he called for ""body bags"" for ""vicious subhumans"" involved in nationwide protests over George Floyd's murder at the hand of Minneapolis police officers. Protesters widely condemned his comments at the demonstration, though Dwojakowski declined to answer if he felt Shelide deserved to be fired for them.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.detroitnews.com/story/news/local/macomb-county/2020/06/06/macomb-county-march-against-police-brutality/3160446001/
Michigan,Traverse City,"On June 6, hundreds gathered in a peaceful protest in Traverse City to have open conversation on unity and racial inequality.[49] The protest started with a nine-second moment of silence to commemorate the almost nine minutes that Minneapolis police officer Derek Chauvin kneeled on George Floyd's neck, leading to Floyd's death. Both organizers and law enforcement spoke on not being afraid to have conversations on race and not being silenced in fear of confrontation. Traverse City police chief Jeff O'Brien stated ""I used to think there's no problem here, but there really is a problem. This issue really is our nation's original sin and we've got to get over that. We have to make sure that equality prevails."" He went on to acknowledge that change would have to begin with law enforcement officers holding each other accountable to eliminate the origin of racial inequality and showing loyalty and commitment to the rule of law over loyalty to fellow officers. The protest started at Open Space Park and moved to Grandview Parkway.[50] Speakers asked each demonstrator to support the cause with their vote for their city government.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://upnorthlive.com/news/local/community-and-law-enforcement-take-center-stage-at-traverse-city-protest	https://www.9and10news.com/2020/06/06/black-lives-matter-demonstration-rallies-t-c-community/
Michigan,Troy,"On June 1, police blocked off traffic on Big Beaver Road as hundreds of protesters marched to the Troy police station while chanting ""Black Lives Matter"" and the names of people recently killed by police.[51] The organizers of the march addressed the crowd, imploring them to vote in the upcoming 2020 presidential election and to continue the momentum of the George Floyd protests as well as the Black Lives Matter movement as a whole. The march was peaceful, although Troy police announced via its Twitter account that a 68-year-old Troy man was charged with felonious assault for intentionally striking a protester with his car. The protester did not appear to sustain any injuries. On June 5, roughly 1500 demonstrators, including students from Troy High School, Troy Athens High School, and the International Academy East, marched from Troy Athens High School to City Hall to protest the killing of George Floyd by an ex-Minneapolis police officer and called for greater police reform.[52] The mayor of Troy, Ethan Baker, stated the police department's use of force, training, hiring and community relations will be reviewed to determine if any policy changes would be necessary.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.freep.com/story/news/local/michigan/oakland/2020/06/01/troy-rallies-somerset-brutality-racial-injustice/5313607002/	https://www.fox2detroit.com/news/1500-strong-demonstrate-in-troy-protest-against-police-brutality-and-racism
Michigan,Warren,"On June 2, more than 100 protesters led a peaceful march along Van Dyke Avenue in Warren to protest George Floyd's murder, racism, and police brutality.[53] Protesters chanted ""Black Lives Matter"", ""Say his name, George Floyd"" and ""I can't breathe"" while marching as cars and bystanders cheered them on; police escorts and the city's mayor and police commissioner were also present. Warren's mayor Jim Fouts called the video of officer Derek Chauvin kneeling on Floyd's neck ""shocking"" and stated ""If that happened in Warren, it would be unacceptable and the officers would be removed.""",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.detroitnews.com/story/news/local/macomb-county/2020/06/02/protesters-warren-against-police-brutality/3130383001/
Michigan,Ypsilanti,"On May 28, about 100 protesters gathered at the Washtenaw County Sheriff's Office to protest the incarceration of Ypsilanti woman Sha'Teina Grady El after a police officer had been filmed punching her on May 26, the day after George Floyd's death.[2] These protests were closely linked to the protests in neighboring Ann Arbor that week.[54] Protests continued in Ypsilanti over the subsequent week, with contention over the significant participation by Ypsilanti Police Chief Tony DeGiusti.[55]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/ann-arbor/2020/05/outraged-residents-block-streets-in-protest-over-washtenaw-deputy-accused-of-punching-black-woman.html	https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html	https://www.mlive.com/news/ann-arbor/2020/06/thousands-march-in-support-of-black-lives-matter-in-downtown-ypsilanti.html
Michigan,Upper Peninsula,"On May 28, about 100 protesters gathered at the Washtenaw County Sheriff's Office to protest the incarceration of Ypsilanti woman Sha'Teina Grady El after a police officer had been filmed punching her on May 26, the day after George Floyd's death.[2] These protests were closely linked to the protests in neighboring Ann Arbor that week.[54] Protests continued in Ypsilanti over the subsequent week, with contention over the significant participation by Ypsilanti Police Chief Tony DeGiusti.[55]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/ann-arbor/2020/05/outraged-residents-block-streets-in-protest-over-washtenaw-deputy-accused-of-punching-black-woman.html	https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html	https://www.mlive.com/news/ann-arbor/2020/06/thousands-march-in-support-of-black-lives-matter-in-downtown-ypsilanti.html
Michigan,Houghton,"On June 3, hundreds of demonstrators of all ages and races marched across the Portage Lake Lift Bridge in Houghton while chanting ""No justice, no peace"", ""Black Lives Matter"", and ""Say his name, George Floyd"" in protest of police brutality.[56] The protest was entirely peaceful, and organizers worked with local police departments to make sure the proceedings went on safely and civilly; the police handed out flowers as a peace offering.",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.uppermichiganssource.com/content/news/Protesters-march-in-Houghton-over-police-brutality-and-death-of-George-Floyd-571000471.html
Michigan,Marquette,"A number of protesters gathered outside Marquette's post office on May 29.[57] On May 30, a protest march started at Northern Michigan University and proceeded towards the city's downtown; a protester briefly stood on the hood of a city police SUV, but no arrests were reported.[58] On May 31, over 150 people took part in another protest that covered 20 blocks and ended at a county sheriff's office.[59] On June 1, about 200 protesters marched on the streets to peacefully protest against racial injustice.[60]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.uppermichiganssource.com/content/news/Group-gathers-in-Marquette-to-protest-the-death-of-George-Floyd--570882431.html	https://www.uppermichiganssource.com/content/news/George-Floyd-protest-escalates-in-Marquette-570899401.html	https://www.uppermichiganssource.com/content/news/Protesters-march-through-Downtown-Marquette-tensions-high-570911551.html	https://www.uppermichiganssource.com/content/news/Peaceful-protests-continue-in-downtown-Marquette-for-third-day-570940981.html
Michigan,Sault Ste. Marie,"On June 1, about 200 people protested on the corner of Ashmun and Portage in downtown Sault Ste. Marie.[61]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.9and10news.com/2020/06/01/sault-ste-marie-protesters-show-support-for-national-movement/
Nebraska,Bellevue,"On May 31, a peaceful protest took place along the corner of N-370 and Galvin Road. Police officers joined the protesters arm in arm, with a Bellevue Police Department sergeant speaking out against corrupt officers.[1]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Nebraska,https://www.wowt.com/content/news/Bellevue-Police-stand-with-protesters-for-equality-justice-570911051.html
Nebraska,Chadron,"In the northwest Nebraska town of Chadron, dozens of students and others voiced their solidarity with the Black Lives Matter movement.[2] The protesters carried signs and held a lie-in on June 3, 2020.[3]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Nebraska,https://www.omaha.com/news/local/from-grand-island-to-chadron-towns-across-nebraska-rally-silence-is-violence/article_48fb898e-15dc-5394-a836-945c8eca211d.html#1	https://twitter.com/PolitelyRages/status/1268674242306023425?s=20
Nebraska,Grand Island,"A group estimated at 300 people marched towards Pioneer Park in the center of the small town, on June 1, 2020.[4] Officials said that people in a passing car sprayed protesters with ""a foul-smelling liquid that might have been urine.""[5]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Nebraska,https://www.theindependent.com/news/local/close-to-300-march-gather-in-park-in-grand-island/article_9ee49b70-a3bd-11ea-964f-7f7b685f2acb.html	https://apnews.com/18f192c9ce0cdfc5c10c6b1e17192ac4
Nebraska,Harvard,"An estimated 50 people, many of them students, and some young families, gathered June 2, 2020, in the center of Harvard, to protest the killing of George Floyd and to call attention to the work that needs to be done in their own community.[6]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Nebraska,https://www.omaha.com/news/local/from-grand-island-to-chadron-towns-across-nebraska-rally-silence-is-violence/article_48fb898e-15dc-5394-a836-945c8eca211d.html#1
Nebraska,Kearney,"On Saturday, May 30, people gathered near downtown Kearney to protest the death of George Floyd.[7]  The peaceful protesting continued with over 100 participants on Sunday, May 31, when protestors gathered at the Museum of Nebraska Art, marched to the main intersection of the town, and back.  The May 31 protests included recognition of Omaha resident, James Scurlock, who was murdered at a protest in Omaha the previous night. Small groups of protestors continued to gather throughout the first week of June.[8]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Nebraska,https://www.kearneyhub.com/news/local/sunday-protesters-march-for-george-floyd-and-james-scurlock-an-omaha-protester-killed-over-the/article_1ff4ff0c-a422-11ea-8660-6b98ddf073fd.html	https://www.ksnblocal4.com/content/news/Peaceful-protest-in-Kearney-to-stand-against-racism-and-police-brutality-570913601.html
Nebraska,Lincoln,"On the morning of Friday, May 29, people gathered at the State Capitol to protest.[9] In the early morning hours of May 31, people gathered at around 27th and O Streets to protest.[10] Eight police officers were injured with one requiring advanced medical treatment, several businesses and police vehicles were damaged.[11] Tear gas and rubber bullets were used, and arrests were made.[10] On May 31, Lincoln Journal-Star reporter Chris Dunker was tackled and detained by police while live-streaming.[12]",https://en.wikipedia.org/wiki/George_Floyd_protests_in_Nebraska,https://www.1011now.com/content/news/George-Floyd-Protests--570878351.html	https://journalstar.com/news/local/protest-in-lincoln-turns-violent-overnight/article_c2e6fdcf-fc58-5786-9c31-68ee2c364e23.html	https://www.1011now.com/content/news/LIVE-at-10PM-LPDs-response-to--570892661.html	https://journalstar.com/news/local/protest-in-lincoln-turns-violent-overnight/article_c2e6fdcf-fc58-5786-9c31-68ee2c364e23.html	https://journalstar.com/news/local/crime-and-courts/watch-now-journal-star-reporter-detained-some-protesters-arrested-in-downtown-lincoln-after-curfew/article_9e01944e-3867-5d2e-b7bf-19165cb266cf.html
